order_id,order_date,customer_id,customer_name,segment,region,country,category,sub_category,sales,quantity,discount,profit
ORD-2024-10001,2024-11-23,CUST-1028,Alex Rivera 95,Corporate,Europe,United Kingdom,Technology,Smartphones,1665.46,2,0.2,425.49
ORD-2024-10002,2024-01-16,CUST-1023,Olivia Brown 30,Home Office,North America,United States,Office Supplies,Appliances,708.35,8,0.2,200.79
ORD-2024-10003,2025-03-21,CUST-1001,Liam Smith 90,Corporate,Asia Pacific,Singapore,Technology,Laptops,8635.44,6,0.0,1495.54
ORD-2024-10004,2024-02-19,CUST-1091,Sophia Wilson 78,Corporate,North America,Canada,Office Supplies,Paper,1704.85,7,0.0,623.31
ORD-2024-10005,2025-02-28,CUST-1092,Charlotte Thomas 25,Home Office,North America,United States,Office Supplies,Binders,371.53,2,0.05,170.88
ORD-2024-10006,2024-07-13,CUST-1071,Mia Martinez 82,Corporate,Europe,France,Furniture,Desks,884.21,2,0.2,156.5
ORD-2024-10007,2024-09-30,CUST-1062,Liam Smith 60,Corporate,Asia Pacific,Australia,Office Supplies,Storage,201.67,1,0.05,90.05
ORD-2024-10008,2025-02-16,CUST-1080,James Taylor 35,Consumer,Europe,Italy,Office Supplies,Storage,415.0,8,0.15,193.14
ORD-2024-10009,2024-11-25,CUST-1117,Liam Smith 34,Consumer,Europe,Italy,Office Supplies,Storage,1059.97,7,0.2,339.0
ORD-2024-10010,2024-04-22,CUST-1035,Benjamin Anderson 64,Consumer,North America,United States,Technology,Laptops,6746.6,7,0.2,1119.14
ORD-2024-10011,2024-07-14,CUST-1119,Benjamin Anderson 33,Home Office,North America,United States,Office Supplies,Appliances,1141.26,6,0.0,328.74
ORD-2024-10012,2024-03-21,CUST-1116,Alex Rivera 93,Home Office,Asia Pacific,Australia,Office Supplies,Paper,766.22,5,0.3,269.94
ORD-2024-10013,2024-04-11,CUST-1039,Sophia Wilson 98,Consumer,North America,Canada,Furniture,Chairs,723.06,6,0.1,70.78
ORD-2024-10014,2024-05-03,CUST-1145,Emma Watson 11,Home Office,Latin America,Brazil,Office Supplies,Binders,261.18,8,0.2,65.17
ORD-2024-10015,2024-09-27,CUST-1108,Olivia Brown 70,Home Office,Europe,France,Furniture,Bookcases,3028.64,8,0.0,301.6
ORD-2024-10016,2024-02-02,CUST-1086,Alex Rivera 76,Home Office,Europe,Italy,Technology,Smartphones,171.77,1,0.05,28.66
ORD-2024-10017,2024-01-17,CUST-1084,Emma Watson 66,Consumer,Asia Pacific,India,Technology,Monitors,2035.89,8,0.05,704.73
ORD-2024-10018,2025-02-17,CUST-1104,Olivia Brown 13,Consumer,Latin America,Mexico,Furniture,Tables,280.19,1,0.3,50.63
ORD-2024-10019,2024-11-26,CUST-1025,Alex Rivera 52,Home Office,Asia Pacific,Japan,Technology,Laptops,2660.76,8,0.05,679.75
ORD-2024-10020,2024-05-22,CUST-1118,Olivia Brown 10,Corporate,North America,United States,Office Supplies,Appliances,400.24,2,0.05,100.02
ORD-2024-10021,2024-09-05,CUST-1123,Olivia Brown 52,Consumer,Europe,Spain,Technology,Printers,3287.45,8,0.1,840.77
ORD-2024-10022,2025-05-05,CUST-1142,Mia Martinez 20,Consumer,Asia Pacific,Australia,Technology,Monitors,787.32,1,0.3,179.82
ORD-2024-10023,2024-01-26,CUST-1149,Mia Martinez 65,Home Office,Europe,Germany,Office Supplies,Paper,342.91,2,0.2,75.57
